episode,reward,timesteps
1,-256911.31,77
2,-225850.88,114
3,-217396.06,142
4,-161778.25,155
5,-176548.97,168
6,-165588.7,181
7,-183151.2,194
8,-155480.08,207
9,-170093.78,221
10,-159976.03,235
11,-171481.9,248
12,-168596.56,261
13,-184265.95,274
14,-162354.6,287
15,-153313.5,300
16,-164036.3,313
17,-167800.16,326
18,-163155.08,339
19,-174513.62,352
20,-164451.3,365
21,-179015.28,378
22,-164249.14,391
23,-178967.9,404
24,-157006.16,417
25,-177962.83,431
26,-172117.61,444
27,-184242.81,457
28,-164948.97,470
29,-183191.03,483
30,-181363.81,496
31,-179867.53,510
32,-184341.81,523
33,-183934.78,536
34,-175575.6,549
35,-178321.06,562
36,-177579.62,575
37,-177757.89,588
38,-183853.27,601
39,-177800.94,614
40,-182574.69,627
41,-182500.95,640
42,-184356.08,653
43,-184299.92,666
44,-174683.97,679
45,-181550.5,692
46,-161128.86,705
47,-183373.39,718
48,-184369.97,731
49,-170632.8,744
50,-184312.64,757
51,-181809.55,857
52,-260550.94,950
53,-232658.27,1042
54,-178806.78,1095
55,-147040.8,1140
56,-147516.02,1178
57,-178157.11,1225
58,-155130.83,1263
59,-151554.38,1302
60,-221189.72,1375
61,-152473.22,1417
62,-166246.92,1470
63,-161679.19,1523
64,-170933.25,1575
65,-201541.66,1635
66,-173126.19,1687
67,-237638.56,1775
68,-180318.53,1833
69,-142919.62,1876
70,-163227.75,1926
71,-178319.08,1983
72,-165459.64,2036
73,-159184.77,2087
74,-182353.16,2151
75,-179109.28,2202
76,-166589.33,2251
77,-170483.27,2331
78,-171698.56,2384
79,-186110.88,2441
80,-181402.97,2517
81,-161979.5,2565
82,-119925.67,2665
83,-221529.44,2750
84,-218731.61,2817
85,-115748.79,2917
86,-61537.26,3017
87,-164829.52,3117
88,-111440.71,3217
89,-156010.6,3313
90,-61292.703,3413
91,-138045.45,3502
92,-142318.39,3572
93,-146137.89,3665
94,-14237.531,3765
95,-131649.81,3865
96,-35267.605,3965
97,-12801.417,4065
98,-10827.711,4165
99,-53169.117,4265
100,-13532.644,4365
101,-39016.53,4465
102,-13051.047,4565
103,-12104.838,4665
104,-136728.67,4749
105,-132604.64,4813
106,-131794.69,4905
107,-132176.62,5003
108,-124647.37,5064
109,-132286.39,5124
110,-131733.17,5201
111,-154280.23,5281
112,-127085.78,5340
113,-124830.33,5412
114,-11564.449,5512
115,-129344.41,5589
116,-131120.97,5653
117,-144750.31,5714
118,-125164.55,5765
119,-131202.4,5845
120,-135392.05,5914
121,-127238.0,5967
122,-134124.62,6023
123,-13415.998,6123
124,-139466.86,6175
125,-131722.39,6259
126,-145778.6,6341
127,-142284.84,6394
128,-156040.83,6447
129,-151417.22,6503
130,-138609.33,6586
131,-135541.6,6652
132,-125724.44,6735
133,-136126.6,6779
134,-141760.39,6818
135,-138901.67,6864
136,-154779.67,6911
137,-147948.88,6956
138,-147292.0,7042
139,-128524.92,7110
140,-147918.75,7159
141,-130518.61,7242
142,-151353.73,7303
143,-153096.36,7380
144,-125907.25,7456
145,-124597.02,7540
146,-128432.56,7596
147,-129289.35,7634
148,-149581.72,7678
149,-131629.03,7731
150,-126681.6,7790
151,-126863.2,7839
152,-149257.52,7893
153,-134856.44,7989
154,-129082.62,8051
155,-140641.19,8139
156,-158843.38,8177
157,-142039.56,8219
158,-136750.16,8271
159,-146738.97,8321
160,-121762.45,8362
161,-118574.28,8410
162,-122693.38,8471
163,-132819.75,8522
164,-134615.34,8566
165,-135086.92,8625
166,-134453.17,8702
167,-67958.82,8802
168,-18998.145,8902
169,-135349.58,8967
170,-119233.18,9015
171,-120614.75,9077
172,-124871.81,9130
173,-125898.664,9223
174,-149138.61,9296
175,-11397.21,9396
176,-21423.48,9496
177,-117398.984,9554
178,-135922.88,9631
179,-57510.9,9731
180,-133521.44,9775
181,-128896.02,9822
182,-156094.8,9911
183,-135890.47,9963
184,-127153.625,10046
185,-15465.597,10146
186,-121107.26,10206
187,-23716.059,10306
188,-136800.25,10368
189,-9781.179,10468
190,-130838.78,10548
191,-129623.63,10615
192,-25938.654,10715
193,-142731.72,10777
194,-144402.08,10867
195,-140959.05,10932
196,-121708.06,10987
197,-131518.03,11036
198,-16217.377,11136
199,-9762.337,11236
200,-33893.77,11336
201,-121759.73,11391
202,-25988.582,11491
203,-15354.904,11591
204,-25358.463,11691
205,-14445.651,11791
206,-136687.28,11889
207,-18537.027,11989
208,-18071.395,12089
209,-120295.375,12171
210,-9712.249,12271
211,-126397.5,12356
212,-28565.629,12456
213,-30605.379,12556
214,-26745.025,12656
215,-148265.42,12701
216,-125338.086,12782
217,-139037.28,12865
218,-15173.851,12965
219,-16945.674,13065
220,-29460.602,13165
221,-36239.805,13265
222,-21438.734,13365
223,-27218.246,13465
224,-18287.213,13565
225,-18918.38,13665
226,-18104.34,13765
227,-116490.625,13825
228,-122392.55,13898
229,-127919.82,13956
230,-14311.502,14056
231,-20325.096,14156
232,-15390.904,14256
233,-120796.19,14327
234,-13865.34,14427
235,-16676.72,14527
236,-19607.953,14627
237,-24976.254,14727
238,-18303.605,14827
239,-12598.274,14927
240,-142449.52,14992
241,-12867.571,15092
242,-14231.978,15192
243,-133116.61,15245
244,-21101.13,15345
245,-44153.06,15445
246,-13932.676,15545
247,-17720.475,15645
248,-17037.42,15745
249,-11219.802,15845
250,-13415.185,15945
251,-139179.25,16003
252,-150680.08,16075
253,-125378.234,16135
254,-11236.248,16235
255,-118390.36,16298
256,-137445.14,16358
257,-12175.497,16458
258,-33658.562,16558
259,-127240.19,16626
260,-142242.97,16720
261,-10044.454,16820
262,-11289.361,16920
263,-13539.215,17020
264,-10827.501,17120
265,-11636.974,17220
266,-15673.742,17320
267,-147809.83,17390
268,-126263.15,17463
269,-11531.047,17563
270,-15993.642,17663
271,-11129.253,17763
272,-10798.003,17863
273,-15889.571,17963
274,-11222.771,18063
275,-14915.9795,18163
276,-11608.648,18263
277,-149135.28,18324
278,-10659.148,18424
279,-158748.69,18517
280,-10638.743,18617
281,-10555.195,18717
282,-12729.648,18817
283,-10284.703,18917
284,-11545.002,19017
285,-13619.212,19117
286,-11390.905,19217
287,-12197.92,19317
288,-14723.568,19417
289,-28225.266,19517
290,-10784.972,19617
291,-15309.77,19717
292,-14208.639,19817
293,-15708.382,19917
294,-10628.868,20017
295,-14060.783,20117
296,-10920.915,20217
297,-16664.293,20317
298,-15349.985,20417
299,-13584.621,20517
300,-17238.889,20617
301,-12749.133,20717
302,-10445.092,20817
303,-44890.98,20917
304,-12731.881,21017
305,-14040.814,21117
306,-10739.787,21217
307,-10623.194,21317
308,-10965.165,21417
309,-12302.989,21517
310,-27211.92,21617
311,-10843.809,21717
312,-16515.01,21817
313,-12928.649,21917
314,-10183.584,22017
315,-11263.285,22117
316,-13569.382,22217
317,-19919.484,22317
318,-19495.34,22417
319,-20743.25,22517
320,-11952.086,22617
321,-10455.61,22717
322,-12970.945,22817
323,-11784.362,22917
324,-11128.188,23017
325,-25385.467,23117
326,-19712.604,23217
327,-16142.411,23317
328,-13527.202,23417
329,-16164.405,23517
330,-11833.544,23617
331,-23645.762,23717
332,-14435.887,23817
333,-10024.35,23917
334,-14408.915,24017
335,-10056.165,24117
336,-10863.9,24217
337,-11161.576,24317
338,-19731.725,24417
339,-11746.73,24517
340,-18347.115,24617
341,-11190.131,24717
342,-10910.48,24817
343,-27035.28,24917
344,-10442.893,25017
345,-11369.64,25117
346,-12322.191,25217
347,-14058.124,25317
348,-15997.426,25417
349,-11206.362,25517
350,-16591.582,25617
351,-25226.014,25717
352,-11828.552,25817
353,-14665.223,25917
354,-12913.457,26017
355,-9480.63,26117
356,-20961.959,26217
357,-20109.307,26317
358,-37523.062,26417
359,-16700.217,26517
360,-12137.631,26617
361,-14637.113,26717
362,-14025.902,26817
363,-28924.404,26917
364,-35195.465,27017
365,-10234.886,27117
366,-13607.663,27217
367,-9983.076,27317
368,-19284.691,27417
369,-12103.36,27517
370,-22370.885,27617
371,-13248.265,27717
372,-18236.043,27817
373,-14868.117,27917
374,-14114.724,28017
375,-13839.695,28117
376,-12399.527,28217
377,-55571.082,28317
378,-35506.44,28417
379,-13133.496,28517
380,-18030.676,28617
381,-19852.863,28717
382,-10359.001,28817
383,-11631.497,28917
384,-14948.35,29017
385,-21848.16,29117
386,-30143.904,29217
387,-22716.006,29317
388,-37600.85,29417
389,-22309.885,29517
390,-53483.75,29617
391,-25775.496,29717
392,-18321.367,29817
393,-30673.877,29917
394,-17655.793,30017
395,-23001.242,30117
396,-22249.752,30217
397,-12586.066,30317
398,-10546.574,30417
399,-22325.27,30517
400,-35596.43,30617
401,-15423.227,30717
402,-28301.05,30817
403,-31247.035,30917
404,-13868.275,31017
405,-11019.419,31117
406,-17586.656,31217
407,-12413.213,31317
408,-30173.06,31417
409,-33035.105,31517
410,-39835.348,31617
411,-11951.042,31717
412,-51866.066,31817
413,-9849.368,31917
414,-22566.639,32017
415,-12677.885,32117
416,-15177.604,32217
417,-25350.299,32317
418,-15619.438,32417
419,-24702.146,32517
420,-41208.996,32617
421,-32942.395,32717
422,-10274.748,32817
423,-23144.889,32917
424,-50518.39,33017
425,-38124.15,33117
426,-21747.701,33217
427,-19916.043,33317
428,-43624.715,33417
429,-10285.9375,33517
430,-21657.81,33617
431,-14039.809,33717
432,-10786.451,33817
433,-28420.64,33917
434,-27459.332,34017
435,-9497.3125,34117
436,-21898.252,34217
437,-19143.46,34317
438,-12627.194,34417
439,-16456.697,34517
440,-10100.508,34617
441,-17008.799,34717
442,-16971.97,34817
443,-30803.484,34917
444,-10162.525,35017
445,-12476.501,35117
446,-9745.147,35217
447,-29907.887,35317
448,-10717.281,35417
449,-12906.486,35517
450,-15817.166,35617
451,-12254.459,35717
452,-9443.71,35817
453,-15397.479,35917
454,-9826.011,36017
455,-20067.291,36117
456,-32826.504,36217
457,-22491.447,36317
458,-19891.105,36417
459,-16548.195,36517
460,-14115.204,36617
461,-11971.913,36717
462,-14828.96,36817
463,-10622.113,36917
464,-10080.424,37017
465,-30529.137,37117
466,-11213.395,37217
467,-14810.828,37317
468,-18842.252,37417
469,-23939.434,37517
470,-12445.694,37617
471,-13599.501,37717
472,-12393.183,37817
473,-11498.47,37917
474,-13644.755,38017
475,-25697.436,38117
476,-11486.866,38217
477,-48533.938,38317
478,-14429.898,38417
479,-31939.94,38517
480,-36143.992,38617
481,-10568.062,38717
482,-17081.793,38817
483,-11945.364,38917
484,-18936.762,39017
485,-14813.835,39117
486,-16046.513,39217
487,-28261.03,39317
488,-10501.365,39417
489,-9397.754,39517
490,-15369.569,39617
491,-11786.818,39717
492,-24126.863,39817
493,-16599.193,39917
494,-29158.807,40017
495,-12177.625,40117
496,-11729.3545,40217
497,-10475.366,40317
498,-11533.627,40417
499,-18074.373,40517
500,-23886.213,40617
501,-20445.072,40717
502,-17251.965,40817
503,-17434.787,40917
504,-17234.11,41017
505,-15519.305,41117
506,-13779.693,41217
507,-10859.585,41317
508,-10623.315,41417
509,-11331.8125,41517
510,-22420.926,41617
511,-40853.91,41717
512,-11298.06,41817
513,-22541.293,41917
514,-13288.541,42017
515,-11800.674,42117
516,-15393.069,42217
517,-36538.336,42317
518,-11874.449,42417
519,-11084.458,42517
520,-26224.992,42617
521,-31271.344,42717
522,-17704.361,42817
523,-11184.383,42917
524,-30111.834,43017
525,-9314.697,43117
526,-13299.29,43217
527,-10432.464,43317
528,-56276.414,43417
529,-10175.048,43517
530,-10464.519,43617
531,-16733.156,43717
532,-11254.716,43817
533,-13868.451,43917
534,-13538.25,44017
535,-10395.53,44117
536,-17517.637,44217
537,-10387.947,44317
538,-20624.875,44417
539,-12618.434,44517
540,-20147.89,44617
541,-31161.943,44717
542,-11686.276,44817
543,-15073.374,44917
544,-13134.274,45017
545,-46711.715,45117
546,-24930.74,45217
547,-16124.775,45317
548,-32692.367,45417
549,-24606.986,45517
550,-31310.906,45617
551,-13779.353,45717
552,-21238.066,45817
553,-11546.905,45917
554,-13397.207,46017
555,-23730.55,46117
556,-17116.334,46217
557,-12848.646,46317
558,-53446.832,46417
559,-10502.613,46517
560,-18340.922,46617
561,-17600.143,46717
562,-12110.906,46817
563,-13534.527,46917
564,-11186.199,47017
565,-24846.832,47117
566,-20609.045,47217
567,-28432.58,47317
568,-33474.945,47417
569,-12570.84,47517
570,-29521.305,47617
571,-18408.82,47717
572,-11924.192,47817
573,-26140.068,47917
574,-27041.842,48017
575,-12266.579,48117
576,-12654.664,48217
577,-13093.721,48317
578,-17513.076,48417
579,-18435.55,48517
580,-24256.012,48617
581,-13250.932,48717
582,-17068.02,48817
583,-16397.85,48917
584,-26145.582,49017
585,-35748.027,49117
586,-17394.568,49217
587,-23281.146,49317
588,-31286.836,49417
589,-48504.746,49517
590,-18358.879,49617
591,-22347.666,49717
592,-24100.799,49817
593,-27162.822,49917
594,-34449.562,50017
595,-11118.64,50117
596,-12833.258,50217
597,-17865.451,50317
598,-25604.457,50417
599,-11440.129,50517
600,-61795.32,50617
601,-18761.133,50717
602,-10784.973,50817
603,-61434.1,50917
604,-20952.525,51017
605,-12340.089,51117
606,-15134.3,51217
607,-23449.943,51317
608,-19166.916,51417
609,-35468.727,51517
610,-63203.816,51617
611,-16938.73,51717
612,-28744.785,51817
613,-10906.868,51917
614,-89932.47,52017
615,-24773.2,52117
616,-61551.94,52217
617,-20744.432,52317
618,-20901.922,52417
619,-15838.122,52517
620,-10283.613,52617
621,-36950.09,52717
622,-9512.594,52817
623,-47849.43,52917
624,-71252.47,53017
625,-27496.46,53117
626,-28837.324,53217
627,-43692.707,53317
628,-38513.95,53417
629,-43577.45,53517
630,-53816.066,53617
631,-28666.094,53717
632,-19728.191,53817
633,-21366.482,53917
634,-22067.566,54017
635,-53952.273,54117
636,-23749.3,54217
637,-82536.57,54317
638,-11417.721,54417
639,-13206.97,54517
640,-18891.738,54617
641,-30550.102,54717
642,-19916.348,54817
643,-25666.432,54917
644,-22212.723,55017
645,-26602.252,55117
646,-23046.535,55217
647,-34507.52,55317
648,-25717.254,55417
649,-25847.867,55517
650,-14340.703,55617
651,-41616.168,55717
652,-24286.832,55817
653,-8943.037,55917
654,-19210.584,56017
655,-13591.0625,56117
656,-45052.84,56217
657,-11734.546,56317
658,-35955.387,56417
659,-18447.95,56517
660,-12135.823,56617
661,-69889.82,56717
662,-11986.387,56817
663,-92167.81,56917
664,-14938.223,57017
665,-72602.69,57117
666,-13063.594,57217
667,-18170.613,57317
668,-18271.043,57417
669,-27421.416,57517
670,-19594.34,57617
671,-127928.36,57717
672,-17030.42,57817
673,-17634.703,57917
674,-16852.55,58017
675,-22028.068,58117
676,-17088.688,58217
677,-27810.572,58317
678,-26544.89,58417
679,-15672.217,58517
680,-20914.514,58617
681,-12359.935,58717
682,-41358.836,58817
683,-12614.096,58917
