step,policy_gradient_loss,value_loss,entropy_loss,total_loss,episodic_reward
8192,,,,,
16384,-0.0007732024700089823,12713543.13125,-1.4243518650531768,2529866.5,
24576,-0.0008253987110947491,6517171.4703125,-1.4258481234312057,1911772.5,
32768,-0.0012435786622518208,2235204.566015625,-1.4224729035049677,469941.375,
40960,-0.002753623736498412,1322135.0076171875,-1.4149311739951371,276783.0625,
49152,-0.0013534617308323504,939705.5126953125,-1.4066495418548584,180507.296875,
57344,-0.001902930774303968,898244.519921875,-1.394966296106577,180696.296875,
65536,-0.0014474896372121294,804188.512109375,-1.3783807400614023,160740.015625,
73728,-0.00023140028170018923,807016.6240234375,-1.3696698393672704,148708.15625,
81920,-0.0009288943198043853,783003.701953125,-1.3756477534770966,149662.28125,
90112,-0.0012481060712161707,749541.92578125,-1.3669603660702705,147264.03125,
98304,-0.0013234494163043564,802846.7529296875,-1.3580017130821944,164291.53125,
106496,-0.0014925156865501776,779023.6544921875,-1.3546805121004581,154309.8125,
114688,-0.0011748077486117836,733898.130859375,-1.348218036070466,143957.59375,
122880,-0.0004431442481291015,746059.7021484375,-1.3368927311152219,148103.390625,
131072,-0.0017756301916961093,753150.877734375,-1.3278098788112402,147052.9375,
139264,-0.0009539070375467418,787660.5947265625,-1.3190552532672881,158576.859375,
147456,-0.000688034618360689,812141.60625,-1.317217969149351,157356.28125,
155648,-0.0013588582041847985,794111.559765625,-1.3162901569157839,160232.25,
163840,-0.0005768270373664563,790293.8494140625,-1.304908872023225,153978.34375,
172032,-0.0012325604759098497,767178.958984375,-1.293016690760851,150359.921875,
180224,-0.0010634299025696237,739243.87578125,-1.2829553905874491,145236.859375,
188416,-0.0008918257513869321,754668.735546875,-1.2795409880578519,143191.171875,
196608,-0.000936553358042147,734833.2642578125,-1.2787143878638745,150349.453125,
204800,-0.0014186628963216209,760148.2625,-1.273169032484293,148865.71875,
212992,-0.0012839189868827817,798249.872265625,-1.2637879129499197,160284.265625,
221184,-0.0013033044125222658,772237.86015625,-1.2541416347026826,153645.609375,
229376,-0.0007738963096926455,737361.439453125,-1.2444937195628882,142168.140625,
237568,-0.0008023447851883247,730629.3478515625,-1.2380926344543695,141498.5625,
245760,-0.0013001442181121091,726592.3287109375,-1.2285376962274313,141416.609375,
253952,-0.0006843728693638696,703543.6943359375,-1.2238658204674722,140857.140625,
262144,-0.0011825768186099594,711035.2107421875,-1.2227272544056178,143600.203125,
270336,-0.00025896938095684165,748413.0822265625,-1.2117462433874606,152853.90625,
278528,-0.0013791759789455681,745272.502734375,-1.1985018599778414,152019.703125,
286720,-0.000663335115314112,775420.314453125,-1.1915167197585106,151353.484375,
294912,-0.0019057730525673833,771077.006640625,-1.183449226990342,147920.859375,
303104,-0.0007117523382476065,739232.9583984375,-1.1758964292705059,143887.65625,
311296,-0.0007783004926750437,738006.354296875,-1.172257538512349,145747.609375,
319488,-0.00047045526807778517,767487.3009765625,-1.1729113519191743,152877.53125,
327680,-0.0004173819255811395,774756.5111328125,-1.1665672358125447,150868.609375,
335872,-0.0010492026503925445,760873.0791015625,-1.1610042430460452,153126.953125,
344064,-0.0011472470410808454,734177.0671875,-1.1651248481124639,143484.359375,
352256,-0.00048735199743532576,718812.365625,-1.1594741631299257,140756.4375,
360448,-0.0012307607008551712,705403.611328125,-1.1492007177323103,136089.78125,
368640,-0.00020432478995644488,732618.236328125,-1.1469151061028242,137267.125,
376832,-0.000968473913235357,711548.3525390625,-1.1422142777591944,136654.5625,
385024,-0.0007856209034798667,726021.9208984375,-1.1379442013800145,138322.0625,
393216,-0.00036285628066252685,754320.9431640625,-1.1351757679134606,153663.609375,
401408,-0.0009288211873354158,726842.0884765625,-1.1334260642528533,139791.0,
409600,-0.0005680998598109,699028.53515625,-1.1228347029536963,138674.984375,
417792,-0.00022664304124191402,709974.8640625,-1.110280528664589,140879.09375,
425984,-0.0005674281614119536,709351.0984375,-1.0942442890256643,140486.921875,
434176,-0.00028713617339235495,685827.53515625,-1.079152673482895,131165.203125,
442368,-0.0009241333889804082,695321.351953125,-1.0728481318801641,135980.359375,
450560,-0.000126845174600021,722837.62265625,-1.0754318181425333,147438.375,
458752,-0.0004202385736789438,721329.0029296875,-1.066584173962474,145848.109375,
466944,-0.0008403013955103234,719679.1615234375,-1.0465755380690098,140197.96875,
475136,2.8196498169563712e-05,746476.5876953125,-1.0433225847780705,146625.96875,
483328,-0.00232735910503834,757746.9666015625,-1.045605269819498,148789.21875,
491520,-0.0006527880461362657,727362.1359375,-1.0460020404309034,140615.984375,
499712,-0.00039381262686219996,710461.505859375,-1.0469118528068067,139236.875,
507904,-0.00016981158150883858,697417.8177734375,-1.048238143324852,138031.59375,
516096,-0.0008177597828762373,711178.586328125,-1.0476808905601502,143355.828125,
524288,7.53129534132313e-05,709714.921484375,-1.043550607562065,138622.71875,
532480,-0.00025525942000967914,724599.7505859375,-1.0405078042298554,148422.859375,
540672,-0.0012608251192432363,738374.35859375,-1.0284855250269174,143410.78125,
548864,-0.0014051992613531184,741313.5171875,-1.014790838956833,146533.28125,
557056,-0.002200304068537662,719269.1578125,-0.9963346581906081,137071.5,
565248,-0.0008811289779259823,734158.6568359375,-0.9808993555605412,144282.203125,
573440,-0.0005492184485774487,737256.8841796875,-0.9717555329203605,144738.34375,
581632,-0.0009306115061917808,753478.716015625,-0.9650729540735483,144312.59375,
589824,-0.00037305981677491216,735585.323046875,-0.9588671693578362,147879.859375,
598016,-0.001070331982919015,727726.7517578125,-0.9586268294602632,142866.625,
606208,-0.000576370477938326,708593.02734375,-0.95231699552387,142032.234375,
614400,-0.0005382592244131956,725860.1224609375,-0.940469210408628,146199.890625,
622592,-0.0004959868714649929,707660.69453125,-0.9265060378238559,136393.9375,
630784,-0.000599052854886395,699429.4927734375,-0.9127149032428861,139216.65625,
638976,-0.0014096747705480083,678108.930078125,-0.9093761244788766,133224.3125,
647168,-0.0011313077928207349,696036.33046875,-0.9058417785912752,140892.21875,
655360,-0.0008738398599234642,714945.7224609375,-0.8934304092079401,144667.5625,
663552,-0.0001169220373412827,724198.119921875,-0.8802765276283026,146667.96875,
671744,-0.0006945566878130194,712435.6650390625,-0.8761396382004023,145928.875,
679936,4.8334164239349776e-05,707444.2041015625,-0.8734026905149221,139230.890625,
688128,-0.0003849242308206158,711993.789453125,-0.8701168989762664,134646.59375,
696320,-0.0011700007311446826,719228.7447265625,-0.8636698152869939,139605.0625,
704512,-0.0006204885496117641,700562.925390625,-0.8591849284246564,137264.734375,
712704,-0.0007815597120497842,715246.42421875,-0.8504862651228905,144996.09375,
720896,-0.0009358693379908801,714621.198828125,-0.8395589904859662,141776.328125,
729088,-0.000588353886269033,711113.0541015625,-0.8325083900243044,141344.453125,
737280,-0.0004949286882037996,704372.3162109375,-0.8204171299934387,136966.46875,
745472,-0.00010721471226133872,704195.230859375,-0.8071583921089769,138350.71875,
753664,-0.0010189355583861471,704508.3267578125,-0.7959222281351686,139327.25,
761856,-0.0015879854887316468,691669.7568359375,-0.7856129750609397,133791.140625,
770048,-0.0012616977852303534,681202.62734375,-0.7715099414810538,134295.5,
778240,-0.0004847318385145627,678412.2419921875,-0.75675093755126,135110.859375,
786432,-0.0008988498248072574,666451.742578125,-0.763529266230762,135075.203125,
794624,-0.0003519131540087983,680245.38828125,-0.7761332649737597,134234.921875,
802816,-0.0017642106453422458,677719.4787109375,-0.7749186336994172,135853.84375,
811008,-0.00020692006510216742,696636.1701171875,-0.7714756475761533,138108.234375,
819200,-0.0014607726709073177,683220.1951171875,-0.7690462112426758,133286.109375,
827392,-0.0003099411856965162,676662.849609375,-0.7633042747154832,133995.34375,
835584,-0.00010073123048641719,668036.5494140625,-0.7618302408605814,130755.84375,
843776,-0.00030729555728612465,667711.884765625,-0.7645774515345692,128472.6015625,
851968,-0.0009515301771898521,670158.672265625,-0.7600037483498454,134694.5,
860160,-0.0010166076157474891,682791.6544921875,-0.7516860926523805,136617.09375,
868352,-0.0007938544687931426,656964.6724609375,-0.7432189293205738,129232.6640625,
876544,-0.0005073483247542754,668461.1158203125,-0.7344370521605015,133262.375,
884736,-9.493669313087594e-05,685327.56640625,-0.7327737560495734,142626.140625,
892928,-0.0005600095702902764,679023.12890625,-0.7289931109175086,135106.140625,
901120,-0.0017835290716902818,684606.6310546875,-0.7164483992382884,137128.75,
909312,-0.0014923087481292896,690792.705078125,-0.705698668770492,133538.390625,
917504,-0.00044810080726165324,669327.532421875,-0.710408852621913,133206.734375,
925696,-0.0006264210845984053,656232.3638671875,-0.712184384278953,129498.765625,
933888,-0.00046997664612717925,644933.0923828125,-0.7031466262415051,127159.0703125,
942080,-0.001543508266331628,660935.655859375,-0.6915309512987733,128320.3046875,
950272,-0.00020886041857011152,641629.25625,-0.6882869016379118,125916.28125,
958464,-0.00103167041161214,643343.7841796875,-0.6858407646417618,124845.4453125,
966656,-0.0015253290097462014,655538.85859375,-0.6791559614241123,126106.25,
974848,-0.0008995488115033368,642463.6244140625,-0.6730203129351139,125424.125,
983040,-0.0006045328576874453,632713.63203125,-0.6636100582778454,126712.03125,
991232,-0.0007914161647931906,637185.1,-0.6584632340818644,124779.5625,
