time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/std,train/policy_gradient_loss,train/explained_variance,train/value_loss
8192,5,100.0,-28278.398812617277,1,1506,,,,,,,,,,,
16384,12,100.0,-21656.56939257,2,1343,10,-1.4224397338926793,0.0034683072,0.0181884765625,0.2,0.0003,2806349.75,1.0068796873092651,-0.0015372160476545104,2.5391578674316406e-05,16743254.0765625
24576,19,100.0,-17387.00430383,3,1279,20,-1.431128878891468,0.003369209,0.01922607421875,0.2,0.0003,1625435.625,1.0189176797866821,-0.0018523226208344568,-2.5510787963867188e-05,7665182.81875
32768,25,100.0,-12601.742407669997,4,1268,30,-1.4369530472904444,0.0028281468,0.01156005859375,0.2,0.0003,549570.5625,1.0176249742507935,-0.001829269104928244,-1.1682510375976562e-05,2373014.03671875
40960,32,100.0,-11076.470394489997,5,1261,40,-1.4364656627178192,0.0035380288,0.02657470703125,0.2,0.0003,249655.84375,1.019338607788086,-0.0037374902982264756,-2.396106719970703e-05,1237045.77265625
49152,39,100.0,-10352.90875131,6,1257,50,-1.440326726064086,0.0025020058,0.01292724609375,0.2,0.0003,164054.75,1.0246282815933228,-0.0027453246984805446,-2.0265579223632812e-06,895607.05
57344,45,100.0,-10133.62704451,7,1253,60,-1.4368659161031245,0.0033607264,0.01749267578125,0.2,0.0003,152472.75,1.0113742351531982,-0.002899785805493593,3.933906555175781e-06,785314.4822265625
65536,52,100.0,-10057.71825235,8,1251,70,-1.4262882523238658,0.0033588666,0.012890625,0.2,0.0003,145309.140625,1.0029222965240479,-0.0018665113057068083,4.708766937255859e-06,750183.4458984375
73728,59,100.0,-10098.61373123,9,1249,80,-1.4194425839930773,0.0013180149,0.00242919921875,0.2,0.0003,149191.90625,0.9984273314476013,-0.0004118668286537286,5.066394805908203e-06,734876.598828125
81920,65,100.0,-9912.486993969998,10,1248,90,-1.4069613970816135,0.0023609805,0.01531982421875,0.2,0.0003,150189.25,0.9813592433929443,-0.0020584538606271963,2.86102294921875e-06,751847.4650390625
