train/n_updates,train/learning_rate,time/fps,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
974,0.0001,308,-4193.88431375,3698.456298828125,1000.0,426967.75,4000,4,12,,
1974,0.0001,397,-5403.16592125,3761.7705078125,1000.0,14737.2353515625,8000,8,20,,
2474,0.0001,,,3330.509765625,,617749.75,10000,,,-152506231.311244,1000.0
2974,0.0001,393,-5031.132270166666,3129.372314453125,1000.0,13654.48046875,12000,12,30,,
3974,0.0001,425,-4794.46887225,3187.253173828125,1000.0,352354.8125,16000,16,37,,
4974,0.0001,,,2902.30078125,,322411.59375,20000,,,-152506231.311244,1000.0
,,417,-4573.6748322,,1000.0,,20000,20,47,,
5974,0.0001,436,-4668.827536416667,2722.052490234375,1000.0,6483.044921875,24000,24,55,,
6974,0.0001,450,-4960.931751285714,2929.699951171875,1000.0,28615.41796875,28000,28,62,,
7474,0.0001,,,3134.16748046875,,3700.975830078125,30000,,,-152506231.311244,1000.0
7974,0.0001,441,-4912.81649984375,2852.056884765625,1000.0,12940.5849609375,32000,32,72,,
8974,0.0001,452,-5059.202547916666,2868.28466796875,1000.0,12604.5546875,36000,36,79,,
9974,0.0001,,,2967.365478515625,,137875.96875,40000,,,-152506231.311244,1000.0
,,445,-4862.082232399999,,1000.0,,40000,40,89,,
10974,0.0001,453,-4778.141392568181,2794.3740234375,1000.0,85056.8984375,44000,44,97,,
11974,0.0001,460,-4920.768810166666,2788.464111328125,1000.0,4696.4716796875,48000,48,104,,
12474,0.0001,,,2551.261962890625,,87817.421875,50000,,,-152506231.311244,1000.0
12974,0.0001,454,-4955.219592134615,2850.20166015625,1000.0,473936.0625,52000,52,114,,
13974,0.0001,460,-4777.48854625,2665.30078125,1000.0,1583634.25,56000,56,121,,
14974,0.0001,,,2687.3369140625,,7624.72802734375,60000,,,-152506231.311244,1000.0
,,455,-4720.152565533333,,1000.0,,60000,60,131,,
15974,0.0001,460,-4748.2023239531245,2665.73291015625,1000.0,4243.6630859375,64000,64,138,,
16974,0.0001,465,-4729.3837778529405,2502.2587890625,1000.0,890933.3125,68000,68,146,,
17474,0.0001,,,2911.9794921875,,49514.296875,70000,,,-152506231.311244,1000.0
17974,0.0001,460,-4825.643315263889,2666.50390625,1000.0,16001.0673828125,72000,72,156,,
18974,0.0001,464,-4839.190448407895,2839.9970703125,1000.0,6625.326171875,76000,76,163,,
19974,0.0001,,,2883.3359375,,21941.521484375,80000,,,-152506231.311244,1000.0
,,460,-4794.243405137499,,1000.0,,80000,80,173,,
20974,0.0001,463,-4707.557252214285,2593.812744140625,1000.0,2980.24658203125,84000,84,181,,
21974,0.0001,467,-4777.164233840909,2705.90576171875,1000.0,467425.375,88000,88,188,,
22474,0.0001,,,2803.6953125,,1383280.75,90000,,,-152506231.311244,1000.0
22974,0.0001,463,-4739.4210735869565,2720.8408203125,1000.0,26326.958984375,92000,92,198,,
23974,0.0001,466,-4738.20754378125,2803.213134765625,1000.0,8677.275390625,96000,96,205,,
24974,0.0001,,,2856.67724609375,,168054.71875,100000,,,-152506231.311244,1000.0
,,463,-4757.13521521,,1000.0,,100000,100,215,,
25974,0.0001,466,-4742.55853121,2895.27880859375,1000.0,20096.32421875,104000,104,223,,
26974,0.0001,469,-4633.831622330001,2656.28076171875,1000.0,2737.59423828125,108000,108,230,,
27474,0.0001,,,2974.6240234375,,5423.2353515625,110000,,,-152506231.311244,1000.0
27974,0.0001,465,-4653.718617670002,2787.609130859375,1000.0,5880.40771484375,112000,112,240,,
28974,0.0001,468,-4676.301513,2693.955078125,1000.0,8506.2060546875,116000,116,247,,
29974,0.0001,,,2695.103515625,,7173.4599609375,120000,,,-152506231.311244,1000.0
,,465,-4754.81268737,,1000.0,,120000,120,258,,
30974,0.0001,467,-4700.03217607,2848.87548828125,1000.0,5242.82763671875,124000,124,265,,
31974,0.0001,469,-4562.2316310900005,2692.577880859375,1000.0,17670.41015625,128000,128,272,,
32474,0.0001,,,2838.75,,2598.9228515625,130000,,,-152506231.311244,1000.0
32974,0.0001,467,-4562.31571649,2520.1435546875,1000.0,11455.17578125,132000,132,282,,
33974,0.0001,469,-4482.20298966,3029.834228515625,1000.0,4668.6171875,136000,136,289,,
34974,0.0001,,,2620.50732421875,,5404.1357421875,140000,,,-152506231.311244,1000.0
,,466,-4555.75627337,,1000.0,,140000,140,300,,
35974,0.0001,468,-4538.16145893,2481.02783203125,1000.0,89184.46875,144000,144,307,,
36974,0.0001,470,-4451.02914705,2666.8818359375,1000.0,4138.86328125,148000,148,314,,
37474,0.0001,,,2708.887451171875,,2586.65771484375,150000,,,-152506231.311244,1000.0
37974,0.0001,468,-4419.453091300001,2659.0986328125,1000.0,69085.421875,152000,152,324,,
38974,0.0001,470,-4523.93600144,2822.09912109375,1000.0,5688.28955078125,156000,156,331,,
39974,0.0001,,,2747.031494140625,,22649.408203125,160000,,,-152506231.311244,1000.0
,,467,-4557.49479735,,1000.0,,160000,160,342,,
40974,0.0001,469,-4588.17110413,2797.13037109375,1000.0,306106.5625,164000,164,349,,
41974,0.0001,471,-4542.84721871,2652.84326171875,1000.0,5299.53515625,168000,168,356,,
42474,0.0001,,,2855.16650390625,,222422.25,170000,,,-152506231.311244,1000.0
42974,0.0001,468,-4475.674549920001,2755.101806640625,1000.0,28433.990234375,172000,172,366,,
43974,0.0001,470,-4499.52250787,2665.044921875,1000.0,167033.5625,176000,176,374,,
44974,0.0001,,,2828.1708984375,,3952.566162109375,180000,,,-152506231.311244,1000.0
,,468,-4538.1011523,,1000.0,,180000,180,384,,
45974,0.0001,469,-4571.68244712,2700.06982421875,1000.0,131677.046875,184000,184,391,,
46974,0.0001,471,-4494.1158103200005,2460.009765625,1000.0,6115.1201171875,188000,188,398,,
47474,0.0001,,,2720.5361328125,,11388.50390625,190000,,,-152506231.311244,1000.0
47974,0.0001,469,-4516.9343379,2758.9677734375,1000.0,12362.482421875,192000,192,409,,
48974,0.0001,470,-4566.36691189,2574.25830078125,1000.0,25343.30859375,196000,196,416,,
49974,0.0001,,,2686.43505859375,,14547.267578125,200000,,,-152506231.311244,1000.0
,,468,-4509.90354972,,1000.0,,200000,200,426,,
50974,0.0001,470,-4510.669138870001,2681.68798828125,1000.0,188798.0625,204000,204,433,,
51974,0.0001,471,-4521.714562730001,2651.03515625,1000.0,187339.6875,208000,208,440,,
52474,0.0001,,,2646.638671875,,5076.1123046875,210000,,,-152506231.311244,1000.0
52974,0.0001,469,-4548.543067740001,2770.8896484375,1000.0,11187.3388671875,212000,212,451,,
